Objeto,Confianza,X1,Y1,X2,Y2,Tiempo
Gato,0.43594858050346375,0,0,639,480,1743650438.943722
Gato,0.43594858050346375,0,0,639,480,1743650438.991311
Humano,0.3587626814842224,3,0,639,479,1743650439.1326768
Gato,0.5116407871246338,1,0,630,479,1743650439.228243
Gato,0.35093027353286743,2,0,633,477,1743650439.343283
Gato,0.40690717101097107,2,0,633,478,1743650439.4035053
Gato,0.43761971592903137,5,1,638,479,1743650439.4514463
Gato,0.33907008171081543,24,0,629,478,1743650439.5010023
Pantalla,0.3078812062740326,295,0,639,273,1743650439.5011349
Gato,0.4932934045791626,24,0,637,477,1743650439.5483985
Gato,0.4932934045791626,24,0,637,477,1743650439.5958858
Gato,0.3055923581123352,3,2,615,478,1743650439.642559
Pantalla,0.25523340702056885,248,0,607,273,1743650439.6426904
Gato,0.3055923581123352,3,2,615,478,1743650439.6914754
Pantalla,0.25523340702056885,248,0,607,273,1743650439.6915762
Celular pedorro,0.3803204596042633,284,0,516,229,1743650439.7387297
tie,0.4232668876647949,233,0,466,262,1743650439.9941294
Gato,0.3764386773109436,0,0,621,478,1743650439.9942415
Control remoto,0.3047278821468353,217,0,439,286,1743650440.0418057
Celular pedorro,0.3416052758693695,206,93,403,361,1743650440.428213
Celular pedorro,0.26172956824302673,176,68,386,340,1743650440.488943
Celular pedorro,0.26653167605400085,188,63,392,330,1743650440.537677
Celular pedorro,0.46362683176994324,187,54,390,327,1743650440.5844057
Gato,0.5336313247680664,1,0,441,443,1743650440.6325276
Gato,0.5137254595756531,5,1,525,420,1743650440.6817875
Pantalla,0.3183363974094391,92,0,637,442,1743650440.6819167
Gato,0.5786963701248169,0,0,553,477,1743650440.936779
Gato,0.44755178689956665,1,0,551,436,1743650440.9843407
laptop,0.2899114787578583,85,1,637,477,1743650440.9844427
Gato,0.3612440228462219,0,0,467,480,1743650441.1449068
Gato,0.2968825697898865,232,26,461,389,1743650441.194296
tie,0.25775647163391113,231,26,461,388,1743650441.1944442
laptop,0.25276508927345276,4,0,584,478,1743650441.1945565
Gato,0.5303346514701843,6,1,636,476,1743650441.2406118
Gato,0.638919472694397,0,0,386,470,1743650441.2880461
Gato,0.34096619486808777,3,0,639,476,1743650441.2881851
Gato,0.38513854146003723,8,1,637,477,1743650441.4328449
Gato,0.4800398349761963,0,23,638,479,1743650441.480966
Gato,0.4800398349761963,0,23,638,479,1743650441.5292165
Gato,0.7082319259643555,0,3,638,478,1743650441.5775204
Gato,0.5044482946395874,3,0,635,478,1743650441.624626
Gato,0.3306483030319214,122,141,337,464,1743650441.6247573
Gato,0.42203018069267273,234,0,638,465,1743650441.6731412
Gato,0.2698788046836853,4,0,627,478,1743650441.7706573
Gato,0.2698788046836853,4,0,627,478,1743650441.8167942
Celular pedorro,0.29734161496162415,431,0,593,269,1743650441.9130116
Celular pedorro,0.3045971691608429,394,0,553,251,1743650442.312547
Pantalla,0.5577226281166077,386,0,537,246,1743650442.4573925
Celular pedorro,0.588140606880188,354,0,513,294,1743650442.6484036
Celular pedorro,0.588140606880188,354,0,513,294,1743650442.6964462
Pantalla,0.27969422936439514,363,20,516,315,1743650442.7457595
Celular pedorro,0.28811386227607727,366,80,532,369,1743650442.8412347
Semaforo,0.33518731594085693,192,9,217,46,1743650442.889982
Gato,0.5001208186149597,2,0,620,475,1743650443.1774912
Celular pedorro,0.46148547530174255,360,151,542,452,1743650443.2452705
Celular pedorro,0.46148547530174255,360,151,542,452,1743650443.3042345
Celular pedorro,0.2846912443637848,352,164,539,462,1743650443.3982637
Celular pedorro,0.4068927466869354,342,178,531,476,1743650443.447057
Control remoto,0.3445274829864502,341,177,529,475,1743650443.4472277
Celular pedorro,0.4672020971775055,338,178,529,478,1743650443.4938345
Celular pedorro,0.5366572141647339,334,179,527,478,1743650443.5438204
Gato,0.445622056722641,7,0,634,476,1743650443.5439594
Gato,0.26627951860427856,2,0,390,476,1743650443.5440438
Celular pedorro,0.5366572141647339,334,179,527,478,1743650443.5934231
Gato,0.445622056722641,7,0,634,476,1743650443.5935957
Gato,0.26627951860427856,2,0,390,476,1743650443.593706
Celular pedorro,0.5823323130607605,332,173,521,473,1743650443.6407855
Celular pedorro,0.5535895228385925,331,171,519,470,1743650443.6887362
Celular pedorro,0.42782703042030334,329,170,512,468,1743650443.7359476
Celular pedorro,0.6891641020774841,325,174,506,471,1743650443.8438592
Celular pedorro,0.6891641020774841,325,174,506,471,1743650443.8958073
Celular pedorro,0.5585905313491821,320,181,501,475,1743650443.943788
Celular pedorro,0.525156557559967,318,180,495,473,1743650443.9918613
Humano,0.3791138529777527,4,0,632,476,1743650444.0403926
Celular pedorro,0.3013644218444824,298,160,473,441,1743650444.040528
Celular pedorro,0.4761073589324951,298,148,476,441,1743650444.088806
Semaforo,0.31719425320625305,129,72,151,110,1743650444.0889812
Gato,0.2859285771846771,1,0,381,470,1743650444.0891058
Gato,0.34252306818962097,1,0,632,475,1743650444.1341383
Gato,0.33376866579055786,1,0,432,478,1743650444.1342669
Gato,0.34252306818962097,1,0,632,475,1743650444.1836975
Gato,0.33376866579055786,1,0,432,478,1743650444.1838262
Celular pedorro,0.41873279213905334,314,158,485,442,1743650444.2302246
Gato,0.3632812798023224,28,0,639,473,1743650444.2303977
Celular pedorro,0.31613436341285706,303,149,484,435,1743650444.2789798
Gato,0.26410287618637085,2,0,390,476,1743650444.279158
Gato,0.25944268703460693,8,0,636,472,1743650444.279272
Celular pedorro,0.31613436341285706,303,149,484,435,1743650444.326263
Gato,0.26410287618637085,2,0,390,476,1743650444.3264365
Gato,0.25944268703460693,8,0,636,472,1743650444.3265493
Celular pedorro,0.30979952216148376,278,133,444,417,1743650444.3759425
Celular pedorro,0.257490873336792,268,120,439,409,1743650444.44465
Gato,0.25486162304878235,2,0,602,476,1743650444.4448285
Celular pedorro,0.257490873336792,268,120,439,409,1743650444.5053864
Gato,0.25486162304878235,2,0,602,476,1743650444.5055244
Celular pedorro,0.4586140215396881,258,120,425,406,1743650444.5535119
Celular pedorro,0.3542962670326233,258,107,429,392,1743650444.6470273
Gato,0.2504430413246155,1,97,453,476,1743650444.7435703
Gato,0.2504430413246155,1,97,453,476,1743650444.7912586
Celular pedorro,0.29216718673706055,239,103,400,380,1743650444.839631
Celular pedorro,0.3561733663082123,223,82,385,364,1743650444.9822986
Pantalla,0.2806558907032013,237,73,398,358,1743650445.254509
Pantalla,0.33417829871177673,236,74,398,356,1743650445.3028162
Pantalla,0.329293429851532,237,70,401,356,1743650445.3507805
Pantalla,0.329293429851532,237,70,401,356,1743650445.3981922
Pantalla,0.30397722125053406,230,69,401,357,1743650445.445015
Celular pedorro,0.2512430250644684,238,72,404,353,1743650445.4451644
Pantalla,0.45659375190734863,269,61,429,350,1743650445.9407601
Pantalla,0.45659375190734863,269,61,429,350,1743650445.9916546
Pantalla,0.28577721118927,264,62,430,352,1743650446.0524664
Pantalla,0.25166282057762146,270,55,428,345,1743650446.291082
Pantalla,0.25166282057762146,270,55,428,345,1743650446.3382964
Pantalla,0.26028579473495483,259,49,422,340,1743650446.480525
Celular pedorro,0.2683892846107483,256,66,420,354,1743650446.768508
Celular pedorro,0.26972731947898865,251,73,415,357,1743650446.886975
Celular pedorro,0.26972731947898865,251,73,415,357,1743650446.944026
Celular pedorro,0.2838323712348938,254,84,421,350,1743650447.134805
Celular pedorro,0.2838323712348938,254,84,421,350,1743650447.1841803
Celular pedorro,0.4110853672027588,254,80,419,347,1743650447.2308514
Celular pedorro,0.5248429179191589,246,77,412,340,1743650447.2762983
Celular pedorro,0.5248429179191589,246,77,412,340,1743650447.3272705
Celular pedorro,0.4102444052696228,224,70,399,331,1743650447.3751152
Celular pedorro,0.3897693455219269,221,73,402,338,1743650447.4231727
Celular pedorro,0.40586477518081665,227,81,406,350,1743650447.4861972
Celular pedorro,0.40586477518081665,227,81,406,350,1743650447.535168
Celular pedorro,0.351201593875885,223,94,406,358,1743650447.5836976
Celular pedorro,0.351201593875885,223,94,406,358,1743650447.6303031
Celular pedorro,0.4469703435897827,172,107,358,375,1743650447.772867
Gato,0.4393593966960907,2,0,636,447,1743650447.773037
Control remoto,0.40884631872177124,171,108,358,376,1743650447.7731438
Gato,0.33522486686706543,0,1,257,458,1743650447.7732797
Celular pedorro,0.34036463499069214,177,125,356,377,1743650447.842474
Celular pedorro,0.38350000977516174,173,122,349,376,1743650447.9001205
Celular pedorro,0.38350000977516174,173,122,349,376,1743650447.950021
Celular pedorro,0.32498419284820557,173,112,355,366,1743650447.9970973
Celular pedorro,0.2781042754650116,178,106,361,364,1743650448.092169
Celular pedorro,0.2781042754650116,178,106,361,364,1743650448.1419895
Celular pedorro,0.3255041539669037,178,105,360,360,1743650448.1879683
Celular pedorro,0.5371698141098022,179,106,364,360,1743650448.2388663
Celular pedorro,0.35721781849861145,184,108,367,368,1743650448.285159
Celular pedorro,0.36665719747543335,196,114,373,366,1743650448.47578
Celular pedorro,0.36665719747543335,196,114,373,366,1743650448.5243256
Celular pedorro,0.27706378698349,198,113,372,363,1743650448.5736988
Celular pedorro,0.643220841884613,190,109,370,361,1743650448.619267
Celular pedorro,0.31973859667778015,189,107,368,359,1743650448.6870039
Celular pedorro,0.31973859667778015,189,107,368,359,1743650448.7443905
Celular pedorro,0.405691921710968,195,107,371,356,1743650448.7931068
Control remoto,0.27213767170906067,197,105,370,358,1743650448.7932725
Celular pedorro,0.2645193040370941,201,88,369,339,1743650449.0348518
Celular pedorro,0.49064382910728455,203,87,377,342,1743650449.1742356
Celular pedorro,0.6131991744041443,206,88,378,342,1743650449.220201
Celular pedorro,0.632307767868042,211,90,382,344,1743650449.2873867
Celular pedorro,0.632307767868042,211,90,382,344,1743650449.3336847
Celular pedorro,0.5084961652755737,218,94,386,351,1743650449.3828857
Celular pedorro,0.5084961652755737,218,94,386,351,1743650449.4287353
Celular pedorro,0.31990790367126465,218,104,389,361,1743650449.4761195
Celular pedorro,0.4202452600002289,217,114,387,371,1743650449.5241299
baseball bat,0.3127475678920746,487,347,639,409,1743650449.5242658
baseball bat,0.6024937033653259,483,368,639,427,1743650449.621974
Humano,0.3033367097377777,4,0,620,477,1743650449.6220968
baseball bat,0.3006666600704193,481,371,639,434,1743650449.669325
Celular pedorro,0.292804479598999,220,144,386,394,1743650449.6694925
Humano,0.25705185532569885,3,1,627,478,1743650449.6696498
baseball bat,0.3006666600704193,481,371,639,434,1743650449.7181633
Celular pedorro,0.292804479598999,220,144,386,394,1743650449.718318
Humano,0.25705185532569885,3,1,627,478,1743650449.718482
Celular pedorro,0.667419970035553,220,149,386,400,1743650449.7654145
baseball bat,0.47470569610595703,484,377,639,439,1743650449.7655857
Humano,0.40675997734069824,1,1,628,477,1743650449.7657108
